glong	glat	vcmb
34.04931	-31.34276	-410.00000
300.14589	65.56044	1275.00000
343.31327	57.74648	7696.00000
357.16327	52.14484	1740.00000
359.32260	49.77829	2489.00000
359.06968	49.84959	2561.00000
359.62696	50.32072	1478.00000
359.61164	50.12200	2144.00000
359.92324	49.80369	2191.00000
229.25272	34.68114	3940.00000
230.76435	39.71981	2359.00000
231.53909	40.91583	3641.00000
233.27870	42.13863	2106.00000
244.59795	51.13558	10596.00000
354.31747	55.11851	7877.00000
358.60187	52.53657	13545.00000
358.21439	52.39606	2024.00000
358.76719	54.62965	1731.00000
126.06993	53.22216	2642.00000
112.37043	53.13522	1593.00000
81.94515	46.93294	10226.00000
80.83665	46.02123	13992.00000
82.83070	46.21227	12600.00000
70.03266	42.79551	9280.00000
63.51315	39.44643	10292.00000
114.65951	-72.72503	3713.00000
307.12917	19.42948	900.00000
357.84569	-80.70973	-238.00000
289.34498	-68.82831	4740.00000
123.29697	69.19423	9035.00000
302.60826	53.84038	4353.00000
281.42061	75.96613	1390.00000
114.08967	-20.36517	3963.00000
134.76948	-19.64893	10089.00000
134.78712	-10.41169	7599.00000
225.20752	46.94946	3316.00000
104.75554	-47.00067	12156.00000
234.86628	72.85812	6478.00000
235.58020	72.58805	7225.00000
235.24671	72.73116	7916.00000
330.58771	-70.32166	11454.00000
111.35520	-27.06493	12416.00000
319.35646	-62.49014	9542.00000
28.55761	-78.86387	7545.00000
70.77773	-74.81238	8641.00000
110.59128	-30.23715	4511.00000
99.93897	-71.03135	5936.00000
114.00052	-39.95813	5022.00000
106.18479	-63.51736	11369.00000
113.94223	-40.34949	5416.00000
89.87461	-76.92197	7787.00000
117.06788	-20.73608	10714.00000
114.06078	-39.95694	5066.00000
117.99157	-13.45587	4891.00000
81.67047	-79.39250	6668.00000
106.42248	-63.36128	4522.00000
310.91974	-59.85997	10033.00000
104.61086	-66.17152	4029.00000
310.91334	-59.85889	10308.00000
115.48592	-32.20210	6125.00000
111.29210	-51.71873	5036.00000
92.99947	-75.74006	6043.00000
106.58307	-63.29069	4551.00000
64.72705	-82.11958	5741.00000
79.18823	-80.09882	7141.00000
351.97005	-81.86757	11983.00000
115.41251	-32.94374	6774.00000
79.81131	-80.02710	7234.00000
107.57101	-61.64915	13778.00000
115.21687	-34.31826	4435.00000
101.46786	-70.14561	5354.00000
110.62060	-28.90431	10129.00000
105.25252	-45.21820	5653.00000
96.30461	-60.27238	6773.00000
96.36491	-60.23878	6744.00000
90.19201	-65.93000	6201.00000
101.78535	-52.47275	11248.00000
91.49074	-64.89827	10952.00000
91.60053	-64.86556	5319.00000
113.95535	-14.69916	4751.00000
67.85779	-75.05484	8631.00000
107.83219	-38.27289	4122.00000
113.92227	-15.00857	5099.00000
97.30362	-59.17869	7043.00000
94.25408	-62.60472	11015.00000
107.87623	-38.38221	11353.00000
89.64506	-66.45072	10958.00000
111.14550	-27.08431	12391.00000
326.33737	-67.72221	5778.00000
65.51530	-75.64889	7334.00000
110.70854	-28.87700	9487.00000
108.94872	-35.18030	7422.00000
101.67399	-52.89919	11911.00000
95.13670	-61.85967	6928.00000
108.95339	-35.16050	7322.00000
106.99314	-41.23521	6405.00000
109.57113	-33.16570	8506.00000
110.94956	-28.08567	4466.00000
109.58584	-33.18460	8402.00000
109.60170	-33.15442	8225.00000
109.59793	-33.18423	8316.00000
91.45894	-65.31019	10729.00000
306.42040	-39.20308	10693.00000
109.61442	-33.15640	8534.00000
325.69307	-67.47519	5692.00000
65.41885	-75.81012	7358.00000
359.06157	-77.34583	6642.00000
110.96490	-28.35220	12607.00000
331.86364	-70.85608	11342.00000
109.80589	-32.67072	6571.00000
111.31022	-27.07916	12375.00000
99.99235	-56.11219	8578.00000
101.00797	-54.46892	4970.00000
318.54705	-61.58381	9244.00000
110.60679	-30.23186	4455.00000
358.21409	-77.38193	6627.00000
102.71708	-51.89077	8909.00000
103.82686	-49.66503	8784.00000
105.43994	-46.08943	6006.00000
100.69821	-55.31111	3600.00000
336.67115	-72.87606	6707.00000
77.28842	-73.03430	11069.00000
113.77157	-16.97957	12542.00000
110.82250	-29.59154	12242.00000
13.18430	-78.62937	8361.00000
321.64685	-64.81226	10820.00000
27.48777	-79.00260	8207.00000
25.53621	-79.00334	9427.00000
106.54944	-43.72125	6003.00000
112.80216	-21.55837	13276.00000
111.98849	-25.16922	9409.00000
359.17061	-77.61385	8487.00000
12.10349	-78.65454	8757.00000
86.08476	-69.48024	8517.00000
104.54930	-48.57058	7582.00000
330.22984	-70.44674	11493.00000
12.64645	-78.72331	8505.00000
104.82801	-48.16607	5136.00000
100.27960	-56.60811	8253.00000
99.84481	-57.30728	7297.00000
11.96335	-78.74689	8708.00000
94.32531	-63.83513	6117.00000
106.39334	-44.65494	6000.00000
106.19717	-44.67194	704.00000
106.39500	-44.64682	5488.00000
103.00103	-52.23728	5185.00000
329.99897	-70.51234	11616.00000
106.39192	-44.69980	5929.00000
107.24081	-42.49785	7541.00000
5.88987	-78.41980	6927.00000
110.94022	-30.25184	4629.00000
4.25784	-78.27098	7764.00000
94.54399	-63.76482	5864.00000
355.67703	-77.39079	6541.00000
107.32216	-42.52766	7539.00000
100.60403	-56.54651	8289.00000
333.08456	-72.00292	11590.00000
110.90169	-30.70480	4457.00000
317.34233	-61.00809	9601.00000
106.32130	-45.34414	10874.00000
310.88026	-51.00796	6333.00000
100.38349	-57.12667	7638.00000
85.97182	-70.11264	8599.00000
110.63351	-31.92316	6659.00000
321.56399	-65.27246	10120.00000
103.20209	-52.40068	11589.00000
108.46953	-39.41503	4101.00000
101.66908	-55.17121	5834.00000
321.85449	-65.53482	11060.00000
110.02150	-34.26195	4218.00000
318.44189	-62.32797	10939.00000
310.92986	-51.17966	8662.00000
106.69903	-44.61861	5950.00000
110.02558	-34.31537	7387.00000
320.62799	-64.51468	10552.00000
90.47861	-67.49624	5051.00000
104.24523	-50.52401	7557.00000
110.41058	-33.15347	7622.00000
100.99781	-56.52900	11224.00000
115.44805	-10.39787	12701.00000
330.10616	-70.91009	8812.00000
320.68529	-64.69006	11740.00000
78.77698	-73.33104	5512.00000
102.80735	-53.52205	4887.00000
115.47201	-10.45407	13532.00000
321.51526	-65.43325	10824.00000
85.70058	-70.53963	11148.00000
85.71597	-70.53845	11007.00000
97.59065	-61.38525	9722.00000
120.85809	17.60819	4058.00000
84.41599	-71.22786	8762.00000
320.11182	-64.30116	10965.00000
320.67564	-64.82545	11690.00000
79.44695	-73.26845	6971.00000
90.47015	-67.89703	8292.00000
104.55830	-50.38901	7595.00000
102.88769	-53.64174	5848.00000
108.87497	-38.99200	4108.00000
102.35784	-54.80477	4714.00000
114.75680	-14.63408	5005.00000
101.85165	-55.73909	2712.00000
320.62604	-64.86485	11588.00000
111.84480	-28.30118	4454.00000
89.24849	-68.80164	8385.00000
110.55683	-33.44114	8459.00000
22.88493	-79.57267	7597.00000
326.55903	-69.29406	11226.00000
90.57159	-67.98331	8242.00000
12.02340	-79.23290	7706.00000
110.21650	-34.88362	7224.00000
324.35793	-67.91457	11054.00000
76.26998	-74.49842	9756.00000
92.05674	-67.14423	3424.00000
312.25830	-54.21335	4419.00000
317.08241	-61.34268	10726.00000
107.31540	-44.26296	690.00000
326.67580	-69.43370	11680.00000
313.33815	-56.15318	8892.00000
110.58442	-33.66970	10661.00000
349.21628	-76.92618	8598.00000
320.24979	-64.71535	11054.00000
27.00500	-79.69236	9649.00000
11.81932	-79.28762	7889.00000
349.10607	-76.93807	8315.00000
101.99663	-55.84770	5005.00000
103.03262	-54.15181	5801.00000
95.55056	-64.18758	7475.00000
320.20448	-64.72563	10976.00000
320.65741	-65.15846	10516.00000
85.91397	-70.97363	6418.00000
102.70372	-54.78417	2764.00000
320.32863	-64.96500	10393.00000
102.23140	-55.83593	5302.00000
102.26178	-55.79330	4942.00000
348.05345	-76.84053	8425.00000
114.75199	-15.59660	4712.00000
111.82403	-29.35231	10107.00000
320.63395	-65.24892	10227.00000
320.09340	-64.76017	10914.00000
11.23251	-79.37456	8248.00000
75.46592	-74.91016	7096.00000
320.55358	-65.20580	10366.00000
320.57147	-65.22312	10471.00000
116.08411	-8.62940	9286.00000
352.03697	-77.54468	8300.00000
82.33039	-72.75610	10576.00000
317.38291	-62.00828	10877.00000
347.89766	-76.87215	8045.00000
325.16139	-68.78542	11330.00000
306.65437	-41.08901	5986.00000
322.00066	-66.51460	10493.00000
56.40885	-78.46292	2837.00000
110.65975	-34.33275	7187.00000
320.13091	-64.91974	10336.00000
81.75224	-73.10064	5590.00000
109.33010	-39.12943	6267.00000
8.42714	-79.30340	7538.00000
347.19755	-76.80893	8422.00000
21.32048	-79.83195	7870.00000
347.10579	-76.79845	8134.00000
347.17544	-76.81745	8505.00000
110.69575	-34.44134	2854.00000
0.63150	-78.70486	13379.00000
10.83164	-79.47556	8696.00000
318.60523	-63.50648	10010.00000
106.22273	-48.27072	5133.00000
106.69796	-47.01830	4928.00000
320.03399	-64.95027	10071.00000
319.05804	-64.00785	9837.00000
108.61528	-41.87923	5890.00000
320.02971	-64.95823	9662.00000
319.96999	-64.90648	10544.00000
116.34056	-7.76013	5355.00000
104.45144	-52.35478	11187.00000
318.06188	-63.00269	10572.00000
108.76327	-41.42446	7154.00000
107.87765	-44.12006	5019.00000
313.27227	-56.60038	7295.00000
332.82119	-72.90855	1275.00000
83.23442	-72.72205	5400.00000
317.13701	-62.04348	10834.00000
96.34084	-64.24140	5856.00000
317.12594	-62.03782	10518.00000
83.24651	-72.73011	5374.00000
2.27293	-78.96387	13255.00000
3.94937	-79.10616	7533.00000
320.01443	-65.09385	10237.00000
107.91786	-44.27751	529.00000
320.13105	-65.21253	9656.00000
115.20102	-14.31877	4046.00000
327.37241	-70.43353	11575.00000
104.36072	-52.88082	4877.00000
110.55270	-35.63902	7227.00000
102.71220	-55.99094	5017.00000
319.37355	-64.57626	10092.00000
104.55970	-52.64451	4905.00000
104.44185	-52.91253	10528.00000
108.64623	-42.30934	7554.00000
331.87813	-72.69078	1316.00000
102.66660	-56.16849	4931.00000
104.45847	-52.91609	11184.00000
320.00700	-65.21008	9882.00000
319.98033	-65.19199	9505.00000
320.04946	-65.25482	10227.00000
